year	month	day	hour	minute	second	latitude	longitude	depth	n_st	rms	mag1
2021	1	1	9	24	4.8	6.796	-73.113	166.7	9	0.5	3.5
2021	1	1	20	28	34.6	8.383	-71.303	8.8	4	0.5	2.9
2021	1	2	3	3	15	10.189	-61.899	52.1	4	0.3	3.1
2021	1	2	5	21	10.6	7.014	-71.97	6.4	5	0.2	3
2021	1	2	13	12	10.6	10.431	-69.074	7.6	4	0.5	2.3
2021	1	2	13	48	39.5	6.85	-73.09	160.1	14	0.7	3.8
2021	1	3	5	44	9.9	12.806	-72.967	20.1	11	0.5	4.3
2021	1	3	5	55	49	7.168	-73.109	5	5	0.4	2.9
2021	1	3	13	42	19.6	11.046	-62.279	33.7	3	0.3	3.1
2021	1	3	22	52	44.8	7.043	-73.317	9	4	0.4	2.7
2021	1	4	0	21	58.2	10.245	-67.558	8	3	0.4	1.3
2021	1	4	4	14	23.5	6.901	-73.31	122.6	6	0.2	2.6
2021	1	4	4	42	23.9	6.178	-71.568	34.3	3	0	2.1
2021	1	4	5	48	21.9	10.267	-67.242	5	3	0.3	1.3
2021	1	4	7	15	1.1	6.811	-73.064	162.3	7	0.3	2.6
2021	1	4	11	3	49.7	10.379	-68.593	10.6	6	0.4	2.1
2021	1	4	17	11	26.1	7.12	-73.244	2.9	4	0.4	3.2
2021	1	5	3	48	42.8	8.728	-70.708	5	6	0.6	2.9
2021	1	5	5	37	4.5	6.294	-71.729	10.2	3	0.5	2.5
2021	1	5	7	41	59.1	7.078	-73.216	19.1	4	0.4	3.8
2021	1	5	13	22	50.1	7.025	-73.394	4	4	0.3	2.9
2021	1	5	17	53	7.9	10.445	-67.673	9	4	0.5	1.7
2021	1	5	20	15	16.5	9.729	-69.512	5	6	0.6	2.6
2021	1	5	22	13	43.1	11.265	-61.889	35.1	4	0.4	3.1
2021	1	6	2	18	36.9	11.695	-70.645	35.2	16	0.5	3.6
2021	1	6	2	35	44.6	10.23	-62.162	16.3	19	0.2	4.5
2021	1	6	12	23	37.2	7.243	-73.079	5.2	3	0.5	2.9
2021	1	6	15	27	29.3	10.293	-69.136	5	5	0.8	2.1
2021	1	6	20	24	2.6	5.184	-72.976	5	7	0.7	3.7
2021	1	6	20	30	27.1	10.204	-64.655	15.3	4	0.8	3.3
2021	1	7	4	37	35.7	6.961	-73.047	7.8	9	0.8	4.4
2021	1	7	16	31	1.3	10.565	-69.05	6.1	6	0.5	2.8
2021	1	8	17	44	49.1	10.322	-69.135	5	6	0.5	2.5
2021	1	8	19	55	42.7	7.028	-73.403	5	4	0.4	3
2021	1	8	21	38	22.2	10.323	-69.314	5	6	0.3	2.6
2021	1	8	22	40	52.5	8.122	-72.451	5	6	0.4	3
2021	1	9	0	40	6.9	10.047	-64.623	11.5	3	0.2	2.4
2021	1	9	8	30	31.8	10.31	-69.315	5	6	0.4	2.3
2021	1	9	13	36	1.4	10.287	-69.287	5	6	0.7	2.5
2021	1	9	15	37	43.8	10.28	-68.131	5	5	0.5	1.6
2021	1	9	22	10	4.8	11.542	-60.962	20.4	5	0.4	3.7
2021	1	10	9	39	47.9	7.808	-72.494	16.9	3	0.3	2.7
2021	1	10	13	14	19.8	9.395	-73.189	5.4	8	0.3	3.2
2021	1	10	16	47	58.1	10.654	-61.937	74.9	6	0.4	3.4
